 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5
1	WASP-12b_00040_out.fits	1	0	56319.514498	2456319.514498	2456319.513919	2456319.51107	NaN	-1	-41.50302	-20	100	0	0	25	40	60	0.405432	0.718633	0.396014	0.311106	0.064847	0.000895	0.001863	0.001144	0.000996	0.000667	452.93556	385.780397	346.23759	312.410331	97.260655	2968550.758909	3982.899309	2400.068917	2010.357752	2400.568917	2086.142248	6.5091	29.672487	1203544.31769	2110.260842	570.329646	11007	1818.768212	1205.65343	14.575067	14.214963	14.935171	87.08279	0.997536	1876.012926	1895.686326	1876.512926	2200.813674	6.513397	29.660209	1241276.094974	2113.648179	587.267128	11488	1838.3189	1205.982631	14.478507	14.065621	14.891392	84.854101	0.996645	1814.502984	1787.777909	1815.002984	2308.722091	6.513901	29.64868	842102.774912	2016.198445	417.668597	8276	1636.367024	1206.503433	14.257524	13.772934	14.742114	87.16171	0.995344	2431.104077	2340.454226	2431.604077	1756.045774	6.508846	29.707743	704393.330238	1982.057059	355.384991	7179	1564.297297	1205.096211	14.336667	13.865806	14.807529	76.658799	0.994607	3003.294352	2148.562008	3003.794352	1947.937992	6.504155	29.687204	180778.558786	1844.551959	98.006759	2894	1297.69944	1205.60644	13.786382	13.255962	14.316801	285.71375	0.991892
2	WASP-12b_00041_out.fits	2	0	56319.515877	2456319.515877	2456319.515298	2456319.512449	NaN	-1	-42.000833	-19.94	100	0	0	25	40	60	0.406657	0.72259	0.396128	0.309953	0.064027	0.000895	0.001874	0.001145	0.000994	0.000668	454.392931	385.520308	345.885566	311.925022	95.883699	2958505.494263	3972.58951	2400.438201	2014.903848	2400.938201	2081.596152	6.509099	29.672452	1203096.049559	2097.745934	573.518475	9785	1811.296636	1198.097834	15.82437	15.748237	15.900503	309.291325	0.997637	1876.371048	1900.244727	1876.871048	2196.255273	6.513396	29.660177	1241030.119408	2107.550383	588.849562	10541	1831.360489	1199.471426	15.713226	15.48335	15.943103	296.313369	0.997678	1814.883401	1792.274798	1815.383401	2304.225202	6.5139	29.648637	839426.256729	2012.144622	417.179882	7385	1626.788481	1198.946352	15.590743	15.432283	15.749203	293.821712	0.99909	2431.455515	2345.029948	2431.955515	1751.470052	6.508845	29.707725	700022.909024	1973.436241	354.722841	6370	1556.215926	1198.879066	15.519633	15.287394	15.751872	292.957654	0.99815	3003.626214	2153.089644	3004.126214	1943.410356	6.504153	29.687132	178026.209101	1842.965607	96.597684	2613	1288.9684	1198.23129	14.679729	14.575518	14.783941	298.88523	0.999291
3	WASP-12b_00042_out.fits	3	0	56319.517256	2456319.517256	2456319.516677	2456319.513828	NaN	-1	-42.498704	-19.93	100	0	0	25	40	60	0.406192	0.719978	0.396575	0.309064	0.065354	0.000884	0.001842	0.00113	0.00098	0.000657	459.523794	390.840376	351.096191	315.29901	99.459866	2990028.042928	3958.978036	2400.242809	2018.369108	2400.742809	2078.130892	6.509105	29.672526	1214525.757644	2097.497482	579.035621	10250	1801.405295	1183.011325	14.71713	14.451515	14.982746	277.924468	0.998593	1876.219215	1903.644464	1876.719215	2192.855536	6.513402	29.660246	1251617.426506	2103.240332	595.090065	10459	1822.320428	1184.716033	14.64604	14.212991	15.079089	76.808795	0.99565	1814.687224	1795.732743	1815.187224	2300.767257	6.513906	29.648712	849055.758189	2003.634122	423.757885	7546	1615.117048	1183.027604	14.648133	14.358969	14.937297	80.415053	0.998254	2431.337717	2348.453538	2431.837717	1748.046462	6.508851	29.707791	705931.910428	1971.532653	358.0625	6683	1542.225166	1182.606261	14.332195	14.030439	14.63395	75.514333	0.997685	3003.451816	2156.532706	3003.951816	1939.967294	6.504159	29.687207	183422.947805	1829.862426	100.238655	2730	1276.824552	1183.002073	14.252863	14.006337	14.499389	63.391298	0.996664
4	WASP-12b_00043_out.fits	4	0	56319.518635	2456319.518635	2456319.518056	2456319.515207	NaN	-1	-42.996554	-19.96	100	0	0	25	40	60	0.408627	0.720158	0.396124	0.311178	0.064151	0.000887	0.001846	0.001132	0.000985	0.000659	460.480314	390.068439	349.991567	315.840049	97.41411	2987603.227605	3964.71142	2401.108222	2016.875332	2401.608222	2079.624668	6.509101	29.672573	1220814.51921	2098.583819	581.732551	10568	1808.469782	1188.45225	15.2365	14.970826	15.502174	83.419707	0.998718	1877.109181	1902.193704	1877.609181	2194.306296	6.513397	29.660295	1250783.912068	2103.461681	594.631185	10740	1825.799187	1189.915144	15.026421	14.704536	15.348305	77.919969	0.997797	1815.599321	1794.322771	1816.099321	2302.177229	6.513901	29.648767	847676.472047	2008.041341	422.140946	7786	1620.655295	1189.04813	14.893149	14.530661	15.255636	82.955867	0.997484	2432.219914	2346.948487	2432.719914	1749.551513	6.508847	29.707835	709039.333703	1973.515013	359.277395	6800	1549.610687	1188.776421	14.834933	14.545848	15.124018	71.329956	0.997599	3004.311948	2155.067676	3004.811948	1941.432324	6.504156	29.687256	180103.509786	1835.046067	98.146588	2684	1281.217125	1189.421249	14.041208	13.434659	14.647757	270.416182	0.992562
5	WASP-12b_00044_out.fits	5	0	56319.520014	2456319.520014	2456319.519435	2456319.516586	NaN	-1	-43.494417	-20	100	0	0	25	40	60	0.40605	0.719534	0.39791	0.309492	0.064466	0.000887	0.00185	0.001137	0.000986	0.000661	457.842479	389.040707	350.023081	313.743507	97.569566	2980369.306494	3965.615148	2400.344884	2012.4815	2400.844884	2084.0185	6.509107	29.67244	1210178.530635	2096.127103	577.340243	7306	1807.166242	1190.043075	17.046601	17.446672	16.64653	9.211308	0.997555	1876.248315	1897.838004	1876.748315	2198.661996	6.513404	29.660167	1247127.15034	2103.694899	592.827007	7532	1826.199286	1190.558537	16.915504	17.323504	16.507503	12.478146	0.997172	1814.697172	1789.980747	1815.197172	2306.519253	6.513908	29.648641	848351.009552	2005.251303	423.064684	5393	1620.979103	1188.58817	17.041905	17.391939	16.691871	11.330839	0.99802	2431.413816	2342.663717	2431.913816	1753.836283	6.508852	29.707712	704395.188916	1977.037761	356.288182	4811	1547.870031	1188.851076	16.635818	16.997981	16.273656	23.374606	0.995966	3003.5528	2150.664551	3004.0528	1945.835449	6.504159	29.687138	180495.957686	1835.990244	98.309868	2195	1280.317881	1188.368845	16.430555	16.658025	16.203085	28.130741	0.997516
6	WASP-12b_00045_out.fits	6	0	56319.521393	2456319.521393	2456319.520815	2456319.517965	NaN	-1	-43.992351	-20.04	100	0	0	25	40	60	0.406557	0.718258	0.396721	0.309458	0.065668	0.00088	0.001833	0.001127	0.000975	0.000658	462.176445	391.925224	352.082363	317.414645	99.782574	2990748.932555	3948.528527	2395.784587	2016.690774	2396.284587	2079.809226	6.509102	29.672493	1215909.627162	2084.297463	583.366649	7789	1793.426898	1174.012926	16.822292	16.56619	17.078394	300.830747	0.995887	1871.728419	1902.035215	1872.228419	2194.464785	6.513398	29.660216	1250178.849015	2098.485928	595.752791	7682	1812.587067	1176.039792	16.79004	16.43256	17.14752	292.836468	0.99629	1810.24115	1794.148807	1810.74115	2302.351193	6.513901	29.648685	849484.916651	1999.132208	424.926832	5834	1607.955657	1174.986791	16.741489	16.395752	17.087226	295.509317	0.995693	2426.861298	2346.800293	2427.361298	1749.699707	6.508848	29.707764	706790.006135	1957.591917	361.050738	5199	1533.8	1174.110429	16.543261	16.282343	16.80418	297.322753	0.99703	2999.019683	2154.906745	2999.519683	1941.593255	6.504157	29.687171	184295.160755	1832.631616	100.563124	2281	1267.331304	1173.827925	16.828039	16.61636	17.039719	282.738781	0.999224
7	WASP-12b_00046_out.fits	7	0	56319.522773	2456319.522773	2456319.522194	2456319.519344	NaN	-1	-44.49021	-20.06	100	0	0	25	40	60	0.407147	0.721062	0.396508	0.308882	0.065098	0.000882	0.001842	0.001129	0.000975	0.000658	461.750723	391.444338	351.148304	316.658187	98.978582	2987094.68125	3949.216021	2403.581934	2021.672509	2404.081934	2074.827491	6.509097	29.672324	1216186.959299	2086.106461	582.993717	7821	1795.50433	1175.949078	16.81767	16.925182	16.710157	329.48685	0.999303	1879.416102	1906.964199	1879.916102	2189.535801	6.513394	29.660037	1251483.525992	2097.664154	596.608148	7907	1816.260337	1177.422396	16.754329	16.746725	16.761933	303.926678	0.999994	1817.931447	1799.067603	1818.431447	2297.432397	6.513898	29.648507	848120.461995	2003.085051	423.407115	5826	1606.953299	1176.435298	16.744156	16.838247	16.650065	359.301401	0.999874	2434.568681	2351.835448	2435.068681	1744.664552	6.508843	29.707605	704921.80763	1957.899282	360.039872	5165	1535.267957	1176.163623	16.470201	16.644678	16.295724	358.773231	0.99955	3006.764086	2159.779958	3007.264086	1936.720042	6.504152	29.687025	182568.885633	1830.407865	99.742188	2332	1268.310941	1175.400567	16.341277	16.400334	16.282219	14.91332	0.999931
8	WASP-12b_00047_out.fits	8	0	56319.524152	2456319.524152	2456319.523573	2456319.520723	NaN	-1	-44.988072	-20	100	0	0	25	40	60	0.405911	0.721716	0.396632	0.307798	0.065494	0.000886	0.001854	0.001134	0.000981	0.000661	458.255856	389.226345	349.702503	313.691402	99.143933	2979804.224645	3961.430733	2401.028079	2023.535694	2401.528079	2072.964306	6.509098	29.672337	1209536.071681	2093.079549	577.873914	5192	1806.578436	1188.522191	19.11987	18.696419	19.543321	79.473171	0.997749	1877.042491	1908.808306	1877.542491	2187.691694	6.513394	29.660048	1249086.780546	2105.792108	593.167187	5362	1824.270833	1189.572266	19.06266	18.572199	19.55312	76.013047	0.99661	1815.562896	1800.906409	1816.062896	2295.593591	6.513898	29.648514	846240.466298	2004.84531	422.097636	3964	1619.272681	1187.957459	18.951564	18.503135	19.399992	75.920359	0.997122	2432.143673	2353.574551	2432.643673	1742.925449	6.508843	29.707611	701314.498615	1969.526345	356.082822	3605	1545.288844	1188.022161	18.777526	18.347891	19.207161	77.747822	0.997474	3004.131276	2161.74603	3004.631276	1934.75397	6.504153	29.687048	183162.479186	1833.066912	99.921327	1885	1280.465614	1187.158187	18.850473	18.317824	19.383122	70.190081	0.994626
9	WASP-12b_00048_out.fits	9	0	56319.525531	2456319.525531	2456319.524952	2456319.522102	NaN	-1	-45.485931	-19.96	100	0	0	25	40	60	0.406667	0.717712	0.396632	0.310137	0.065481	0.000874	0.001815	0.001116	0.00097	0.000649	465.536832	395.49077	355.391512	319.806928	100.903298	3006140.489669	3932.62746	2398.403338	2017.779599	2398.903338	2078.720401	6.509097	29.672333	1222497.694887	2082.832463	586.940004	5573	1791.061672	1167.974162	18.772578	18.438022	19.107135	62.22469	0.996032	1874.318349	1903.044512	1874.818349	2193.455488	6.513394	29.660042	1256056.170492	2091.035767	600.686124	5795	1810.281346	1170.089617	18.621964	18.214578	19.02935	66.85622	0.995995	1812.840637	1795.185847	1813.340637	2301.314153	6.513898	29.648513	853719.626346	1990.129204	428.976985	4138	1602.306714	1168.064788	18.681834	18.301336	19.062332	65.731704	0.996219	2429.409037	2347.80903	2429.909037	1748.69097	6.508843	29.707604	711616.544615	1957.632639	363.508725	3874	1530.983172	1168.098651	18.419107	18.09866	18.739554	60.243054	0.995299	3001.429268	2155.867173	3001.929268	1940.632827	6.504153	29.687032	184748.148216	1816.642056	101.697606	1915	1261.694345	1167.57914	18.450952	17.844687	19.057216	76.141283	0.994501
10	WASP-12b_00049_out.fits	10	0	56319.52691	2456319.52691	2456319.526331	2456319.523481	NaN	-1	-45.983756	-19.93	100	0	0	25	40	60	0.405646	0.720975	0.397172	0.308214	0.065188	0.000873	0.001822	0.001119	0.000967	0.000649	464.860456	395.697194	354.989091	318.795766	100.439523	3006432.708556	3933.267166	2401.300226	2016.52598	2401.800226	2079.97402	6.509098	29.672328	1219547.085416	2082.52892	585.608715	5421	1782.604888	1161.654233	19.116335	18.822471	19.410199	66.47208	0.997964	1877.307717	1901.905669	1877.807717	2194.594331	6.513394	29.66005	1259497.120809	2086.082385	603.761927	5527	1803.937787	1161.664905	19.046731	18.700794	19.392669	64.661053	0.996716	1815.838165	1793.987222	1816.338165	2302.512778	6.513897	29.648514	854634.279288	1996.016742	428.169895	4133	1595.833333	1161.567948	19.01792	18.684475	19.351365	71.26873	0.998049	2432.355091	2346.557356	2432.855091	1749.942644	6.508843	29.707602	708312.183223	1957.251226	361.891296	3772	1521.809985	1160.978511	18.734532	18.465141	19.003924	64.449646	0.997903	3004.476539	2154.750246	3004.976539	1941.749754	6.504153	29.687044	183989.125236	1817.673151	101.222338	1848	1254.37156	1160.595247	18.425639	18.093042	18.758236	64.327252	0.996662
